Month,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY,United States seasonally adjusted,,
1975M01,34.86,35.70,37.21,29.47,15.71,19.65,24.38,18.86,27.30,31.12,30.14,27.17,33.19,32.76,25.74,33.02,33.53,31.67,33.25,15.89,26.83,29.53,24.70,25.45,30.60,42.46,26.79,28.22,41.15,31.16,24.07,22.79,27.93,27.38,23.97,30.50,38.36,19.42,29.16,20.42,32.37,37.26,32.12,32.65,24.51,27.79,28.15,17.54,28.13,43.83,31.48,23.62,,
1975M02,35.30,35.93,37.35,29.93,15.78,19.85,24.89,18.79,27.40,32.37,29.88,27.18,33.73,32.74,25.71,33.39,33.89,31.80,33.77,15.85,26.80,29.17,24.99,25.69,32.10,42.05,27.14,28.63,40.88,31.11,24.28,22.34,28.38,27.89,23.46,30.45,38.26,19.96,29.43,20.81,32.22,36.86,32.04,32.98,24.85,28.08,28.32,17.63,28.54,44.47,31.96,23.77,,
1975M03,35.65,36.13,37.47,30.32,15.94,20.03,25.28,18.71,27.41,34.19,29.76,27.25,34.15,32.62,25.81,33.66,34.24,31.91,34.25,15.69,26.69,28.78,25.09,25.86,33.56,41.68,27.44,28.94,40.65,31.07,24.54,22.07,28.79,28.35,23.27,30.42,38.11,20.42,29.64,21.19,32.03,36.39,32.00,33.47,25.08,28.27,28.46,17.69,28.84,45.04,32.43,23.98,,
1975M04,36.01,36.37,37.56,30.60,16.21,20.21,25.48,18.70,27.50,36.41,29.74,27.35,34.45,32.53,25.91,33.85,34.57,32.02,34.51,15.55,26.57,28.47,25.06,26.02,34.71,41.40,27.65,29.12,40.49,30.96,24.70,22.02,29.06,28.74,23.27,30.54,37.92,20.82,29.72,21.59,31.82,35.94,32.01,34.23,25.29,28.33,28.56,17.74,29.06,45.62,32.87,24.23,,
1975M05,36.41,36.57,37.64,30.68,16.44,20.31,25.52,18.82,27.63,36.56,29.77,27.45,34.55,32.39,25.97,33.88,34.85,32.29,34.52,15.46,26.59,28.28,24.94,26.19,34.59,41.25,27.78,29.30,40.50,30.99,24.78,22.12,29.22,29.07,23.30,30.74,37.71,21.16,29.80,21.95,31.63,35.53,32.12,34.33,25.38,28.41,28.67,17.78,29.20,46.23,33.24,24.36,,
1975M06,36.86,36.64,37.81,30.52,16.52,20.41,25.47,19.08,27.79,34.79,29.80,27.55,34.56,32.24,25.99,33.77,35.06,32.65,34.49,15.41,26.71,28.17,24.80,26.39,33.38,41.17,27.87,29.37,40.68,31.01,24.73,22.27,29.36,29.33,23.40,30.94,37.61,21.48,29.97,22.21,31.53,35.27,32.29,33.76,25.42,28.51,28.84,17.86,29.27,46.86,33.57,24.32,,
1975M07,37.37,36.54,37.93,30.19,16.59,20.48,25.37,19.43,27.94,33.54,29.80,27.63,34.57,32.16,26.11,33.57,35.23,33.14,34.65,15.44,26.93,28.29,24.79,26.69,32.33,41.07,27.94,29.38,41.06,31.02,24.58,22.45,29.49,29.51,23.59,31.11,37.66,21.78,30.17,22.32,31.57,35.17,32.49,33.50,25.41,28.71,29.09,18.00,29.39,47.44,33.94,24.35,,
1975M08,37.99,36.28,38.00,29.67,16.82,20.47,25.37,19.77,28.11,32.93,29.65,27.70,34.60,32.17,26.25,33.35,35.41,33.50,35.01,15.51,27.19,28.48,24.96,27.05,31.72,40.91,28.04,29.38,41.60,31.06,24.45,22.63,29.57,29.71,23.73,31.20,37.90,22.00,30.12,22.39,31.68,35.08,32.71,33.59,25.39,28.92,29.36,18.11,29.62,47.98,34.38,24.46,,
1975M09,38.68,36.02,38.00,29.15,17.07,20.41,25.42,20.09,28.23,32.78,29.36,27.76,34.59,32.28,26.40,33.21,35.58,33.70,35.37,15.59,27.40,28.75,25.15,27.32,31.47,40.74,28.16,29.46,42.32,31.20,24.39,22.72,29.55,29.96,23.82,31.28,38.18,22.21,29.70,22.40,31.80,35.02,33.05,33.78,25.47,29.01,29.63,18.15,29.98,48.40,34.78,24.57,,
1975M10,39.43,35.90,37.96,28.89,17.30,20.41,25.52,20.37,28.29,32.92,29.15,27.86,34.69,32.56,26.59,33.29,35.66,33.75,35.63,15.64,27.57,29.08,25.15,27.40,31.34,40.67,28.31,29.57,43.17,31.45,24.41,22.71,29.52,30.27,23.86,31.47,38.52,22.37,29.13,22.39,31.85,35.03,33.45,33.94,25.70,28.98,29.85,18.23,30.40,48.60,35.11,24.69,,
1975M11,40.14,36.02,38.03,29.11,17.49,20.62,25.72,20.59,28.37,33.23,29.04,27.91,34.87,33.02,26.88,33.62,35.77,33.72,35.91,15.70,27.81,29.34,25.11,27.37,31.33,40.83,28.55,29.75,44.01,31.81,24.55,22.64,29.51,30.63,23.89,31.71,39.01,22.55,29.22,22.38,31.83,35.10,33.96,34.20,26.14,28.93,30.00,18.44,30.70,48.60,35.35,24.87,,
1975M12,40.65,36.43,38.29,29.57,17.67,20.94,25.98,20.76,28.50,33.49,29.08,27.92,35.19,33.58,27.30,34.09,35.95,33.70,36.17,15.78,28.15,29.49,25.23,27.34,31.51,41.23,28.90,30.01,44.74,32.22,24.72,22.66,29.56,31.02,23.96,31.91,39.48,22.72,30.15,22.39,31.80,35.25,34.44,34.54,26.64,28.88,30.09,18.72,30.91,48.47,35.52,25.09,,
1976M01,40.97,37.03,38.53,30.05,17.90,21.20,26.23,20.93,28.62,33.49,29.11,27.93,35.69,34.11,27.67,34.49,36.22,33.72,36.59,15.80,28.42,29.54,25.29,27.30,31.92,41.71,29.29,30.12,45.32,32.67,24.87,22.75,29.63,31.37,23.94,32.02,39.86,22.85,30.96,22.40,31.78,35.47,34.65,34.62,27.03,28.84,30.16,19.02,30.93,48.36,35.65,25.27,,
1976M02,41.11,37.63,38.88,30.37,18.11,21.36,26.43,21.12,28.72,33.48,29.10,28.00,36.24,34.53,27.91,34.74,36.49,33.74,36.92,15.90,28.59,29.60,25.31,27.29,32.71,42.14,29.66,30.07,45.71,33.11,24.98,22.93,29.82,31.64,23.79,32.15,40.16,22.97,31.36,22.53,31.70,35.76,34.58,34.89,27.34,28.86,30.17,19.24,30.83,48.33,35.79,25.43,,
1976M03,41.12,38.08,39.35,30.55,18.33,21.48,26.59,21.29,28.65,34.01,29.08,28.04,36.79,34.71,28.16,34.82,36.75,33.79,37.23,15.92,28.66,29.62,25.31,27.34,33.83,42.29,29.99,30.00,45.91,33.54,25.09,23.12,30.04,31.78,23.63,32.31,40.37,23.11,31.54,22.72,31.66,36.05,34.44,35.50,27.53,29.01,30.13,19.38,30.70,48.32,35.97,25.62,,
1976M04,41.10,38.35,39.88,30.67,18.58,21.61,26.68,21.42,28.64,35.25,29.11,28.02,37.33,34.78,28.39,34.91,37.01,33.88,37.47,15.97,28.73,29.60,25.34,27.42,35.04,42.16,30.24,29.96,45.99,33.84,25.06,23.33,30.23,31.79,23.51,32.61,40.53,23.32,31.54,22.99,31.76,36.34,34.38,36.48,27.71,29.16,30.06,19.52,30.67,48.33,36.18,25.85,,
1976M05,41.05,38.47,40.28,30.72,18.79,21.66,26.72,21.57,28.63,35.53,29.28,27.95,37.77,34.72,28.72,35.03,37.20,34.05,37.63,15.96,28.90,29.50,25.34,27.47,35.16,41.92,30.38,30.03,46.08,34.16,25.03,23.57,30.42,31.77,23.47,32.93,40.66,23.60,31.54,23.30,32.02,36.55,34.42,36.73,27.79,29.36,30.04,19.68,30.75,48.34,36.42,26.01,,
