"";"State";"Code";"year";"Region";"Mean";"Population"
"1";"Alabama";"AL";"1990";"South";138,26244342411;4040587
"2";"Alaska";"AK";"1990";"West";127,213960610052;550043
"3";"Arizona";"AZ";"1990";"West";128,023520563436;3665228
"4";"Arkansas";"AR";"1990";"South";139,430317543333;2350725
"5";"California";"CA";"1990";"West";158,4529428298;29760021
"6";"Colorado";"CO";"1990";"West";88,6750092299311;3294394
"7";"Connecticut";"CT";"1990";"Northeast";181,101264770594;3287116
"8";"Delaware";"DE";"1990";"South";162,738076152321;666168
"9";"District of Columbia";"DC";"1990";"South";143,679239106423;606900
"10";"Florida";"FL";"1990";"South";142,890599236721;12937926
"11";"Georgia";"GA";"1990";"South";130,34998650532;6478216
"12";"Hawaii";"HI";"1990";"West";211,630144918163;1108229
"13";"Idaho";"ID";"1990";"West";123,705668019422;1006749
"14";"Illinois";"IL";"1990";"Midwest";129,797871387485;11430602
"15";"Indiana";"IN";"1990";"Midwest";131,930429796596;5544159
"16";"Iowa";"IA";"1990";"Midwest";120,24301633722;2776755
"17";"Kansas";"KS";"1990";"Midwest";127,751445788529;2477574
"18";"Kentucky";"KY";"1990";"South";129,831290930171;3685296
"19";"Louisiana";"LA";"1990";"South";124,947463134741;4219973
"20";"Maine";"ME";"1990";"Northeast";163,363539924844;1227928
"21";"Maryland";"MD";"1990";"South";163,976000324193;4781468
"22";"Massachusetts";"MA";"1990";"Northeast";136,233558409932;6016425
"23";"Michigan";"MI";"1990";"Midwest";112,32223649436;9295297
"24";"Minnesota";"MN";"1990";"Midwest";112,881422453521;4375099
"25";"Mississippi";"MS";"1990";"South";135,730910582009;2573216
"26";"Missouri";"MO";"1990";"Midwest";133,187978899681;5117073
"27";"Montana";"MT";"1990";"West";109,786657014256;799065
"28";"Nebraska";"NE";"1990";"Midwest";121,834192148744;1578385
"29";"Nevada";"NV";"1990";"West";148,799339565402;1201833
"30";"New Hampshire";"NH";"1990";"Northeast";154,524350088547;1109252
"31";"New Jersey";"NJ";"1990";"Northeast";157,760851252057;7730188
"32";"New Mexico";"NM";"1990";"West";136,213103421721;1515069
"33";"New York";"NY";"1990";"Northeast";159,183669770566;17990455
"34";"North Carolina";"NC";"1990";"South";133,113967930905;6628637
"35";"North Dakota";"ND";"1990";"Midwest";137,358277280441;638800
"36";"Ohio";"OH";"1990";"Midwest";130,365051651395;10847115
"37";"Oklahoma";"OK";"1990";"South";132,470594165845;3145585
"38";"Oregon";"OR";"1990";"West";100,505312868683;2842321
"39";"Pennsylvania";"PA";"1990";"Northeast";162,962371629172;11881643
"40";"Rhode Island";"RI";"1990";"Northeast";175,798369145309;1003464
"41";"South Carolina";"SC";"1990";"South";134,956285182949;3486703
"42";"South Dakota";"SD";"1990";"Midwest";121,984434142598;696004
"43";"Tennessee";"TN";"1990";"South";134,949308957517;4877185
"44";"Texas";"TX";"1990";"South";133,024392806731;16986510
"45";"Utah";"UT";"1990";"West";99,2011264693238;1722850
"46";"Vermont";"VT";"1990";"Northeast";165,503565732299;562758
"47";"Virginia";"VA";"1990";"South";154,046713310689;6187358
"48";"Washington";"WA";"1990";"West";122,319566780429;4866692
"49";"West Virginia";"WV";"1990";"South";138,896535543053;1793477
"50";"Wisconsin";"WI";"1990";"Midwest";115,313533845057;4891769
"51";"Wyoming";"WY";"1990";"West";112,388440896137;453588
"52";"Alabama";"AL";"2000";"South";148,636867824848;4447100
"53";"Alaska";"AK";"2000";"West";147,006067363622;626932
"54";"Arizona";"AZ";"2000";"West";146,715594799712;5130632
"55";"Arkansas";"AR";"2000";"South";147,950916391757;2673400
"56";"California";"CA";"2000";"West";140,865058069111;33871648
"57";"Colorado";"CO";"2000";"West";143,558419600657;4301261
"58";"Connecticut";"CT";"2000";"Northeast";144,844344708131;3405565
"59";"Delaware";"DE";"2000";"South";145,326176915753;783600
"60";"District of Columbia";"DC";"2000";"South";141,498794426719;572059
"61";"Florida";"FL";"2000";"South";144,483906869977;15982378
"62";"Georgia";"GA";"2000";"South";146,86841224134;8186453
"63";"Hawaii";"HI";"2000";"West";146,189891923611;1211537
"64";"Idaho";"ID";"2000";"West";148,622084965832;1293953
"65";"Illinois";"IL";"2000";"Midwest";145,612942908609;12419293
"66";"Indiana";"IN";"2000";"Midwest";148,923605235384;6080485
"67";"Iowa";"IA";"2000";"Midwest";148,190514627567;2926324
"68";"Kansas";"KS";"2000";"Midwest";148,282800328285;2688418
"69";"Kentucky";"KY";"2000";"South";148,376192059581;4041769
"70";"Louisiana";"LA";"2000";"South";148,279750583523;4468976
"71";"Maine";"ME";"2000";"Northeast";144,407239231913;1274923
"72";"Maryland";"MD";"2000";"South";145,199461476318;5296486
"73";"Massachusetts";"MA";"2000";"Northeast";141,161689319628;6349097
"74";"Michigan";"MI";"2000";"Midwest";147,057029092658;9938444
"75";"Minnesota";"MN";"2000";"Midwest";143,511268280889;4919479
"76";"Mississippi";"MS";"2000";"South";149,13629054513;2844658
"77";"Missouri";"MO";"2000";"Midwest";146,92110331;5595211
"78";"Montana";"MT";"2000";"West";147,139446981382;902195
"79";"Nebraska";"NE";"2000";"Midwest";149,30470909267;1711263
"80";"Nevada";"NV";"2000";"West";147,14904420223;1998257
"81";"New Hampshire";"NH";"2000";"Northeast";141,118894438158;1235786
"82";"New Jersey";"NJ";"2000";"Northeast";143,304594786674;8414350
"83";"New Mexico";"NM";"2000";"West";149,852488626182;1819046
"84";"New York";"NY";"2000";"Northeast";144,475815286059;18976457
"85";"North Carolina";"NC";"2000";"South";147,790510724397;8049313
"86";"North Dakota";"ND";"2000";"Midwest";148,565269495921;642200
"87";"Ohio";"OH";"2000";"Midwest";148,453284438978;11353140
"88";"Oklahoma";"OK";"2000";"South";148,200950703848;3450654
"89";"Oregon";"OR";"2000";"West";148,651212866715;3421399
"90";"Pennsylvania";"PA";"2000";"Northeast";147,27391128186;12281054
"91";"Rhode Island";"RI";"2000";"Northeast";142,814714784548;1048319
"92";"South Carolina";"SC";"2000";"South";148,082598683472;4012012
